"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U5";"SO-8_5.3x6.2mm_P1.27mm";1;"MAX6675";;;
2;"C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1u";;;
3;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"Thermocouple";;;
4;"U4";"MT3608_DCDC_BUCK_BOOST";1;"MT3608";;;
5;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Fan heater";;;
6;"SW3";"PinHeader_1x02_P2.54mm_Vertical";1;"BT1";;;
7;"SW1";"SW_SPST_CK_RS282G05A3";1;"SW_Push";;;
8;"C6,C3,C11,C14,C15,C16";"CP_Elec_4x5.4";6;"10u";;;
9;"R1,R9,R10,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10k";;;
10;"Y1";"Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering";1;"Crystal_GND2";;;
11;"R3,R2,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1k";;;
12;"D3,D2";"LED_0805_2012Metric_Castellated";2;"LED";;;
13;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"Fuse";;;
14;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.2k";;;
15;"C8";"C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT";1;"MKP 100n";;;
16;"D4,D5";"D_A-405_P7.62mm_Horizontal";2;"DIODE";;;
17;"D6";"TO-220-3_Vertical";1;"BTA140-800";;;
18;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Fan cooler";;;
19;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"Lcd_i2c";;;
20;"Q1,Q2";"TO-92_HandSolder";2;"2n2222";;;
21;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2,2k";;;
22;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"360";;;
23;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330";;;
24;"RV1";"PinHeader_1x03_P2.00mm_Vertical";1;"R_POT";;;
25;"SW4";"PinHeader_1x02_P2.54mm_Vertical";1;"BT2";;;
26;"U1";"TO-220-3_Vertical";1;"L7805";;;
27;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328-AU";;;
28;"U3";"DIP-6_W7.62mm";1;"MOC3063M";;;
29;"D7,D8,D9,D10";"D_A-405_P10.16mm_Horizontal";4;"DIODE";;;
30;"TP2,TP3,TP5,TP6";"TestPoint_Pad_D1.5mm";4;"TestPoint";;;
31;"J2";"holes_220v";1;"Line";;;
32;"J5";"holes_220v";1;"Trafo in";;;
33;"J7";"holes_220v";1;"Heater";;;
34;"SW2";"holes_220v";1;"SW_Push";;;
35;"J8";"PinHeader_1x06_P2.54mm_Vertical";1;"FTDI connector";;;
36;"C9,C1,C2,C4,C5,C7,C12,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"100n";;;
37;"H1,H2,H3,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
38;"J1";"holes_220v";1;"Trafo out";;;
39;"SW5";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_Reed";;;
